name,url,rating,price,contact,via,CAP,comune
Bar Pasticceria Marika,https://www.tripadvisor.it/Restaurant_Review-g644255-d7131438-Reviews-Bar_Pasticceria_Marika-Selvino_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+393932505982,Corso Milano 17 ,24020, Selvino
Ristorante Sorriso,https://www.tripadvisor.it/Restaurant_Review-g644255-d2101854-Reviews-Ristorante_Sorriso-Selvino_Province_of_Bergamo_Lombardy.html,4.5,cucina raffinata,+39035763104,Via Talpino 79 ,24020, Selvino
Pizzeria Birreria Roma,https://www.tripadvisor.it/Restaurant_Review-g644255-d2263032-Reviews-Pizzeria_Birreria_Roma-Selvino_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+39035763012,Via Monte Alben 13 ,24020, Selvino
Ca' di Bore,https://www.tripadvisor.it/Restaurant_Review-g966813-d3211187-Reviews-Ca_di_Bore-Aviatico_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39035779167,Via Cantul 38 ,24020, Aviatico
A Casa del Contadino,https://www.tripadvisor.it/Restaurant_Review-g644255-d5964382-Reviews-A_Casa_del_Contadino-Selvino_Province_of_Bergamo_Lombardy.html,4.0,cibo economico,+39035764202,Corso Milano 91 ,24020, Selvino
Al CAntuccio,https://www.tripadvisor.it/Restaurant_Review-g644255-d4606573-Reviews-Al_CAntuccio-Selvino_Province_of_Bergamo_Lombardy.html,3.5,cibo economico,+39035764188,Via Vulcano 18 ,24020, Selvino
Mc Keown Pub,https://www.tripadvisor.it/Restaurant_Review-g644255-d5617413-Reviews-Mc_Keown_Pub-Selvino_Province_of_Bergamo_Lombardy.html,3.5,cibo economico,+393484791053,Corso Milano 4 ,24020, Selvino
Pasticceria Caffetteria Gelateria Del Piccinini,https://www.tripadvisor.it/Restaurant_Review-g644255-d6995975-Reviews-Pasticceria_Caffetteria_Gelateria_Del_Piccinini-Selvino_Province_of_Bergamo_Lomba.html,4.0,fascia media,+39035764391,Via Daniele Piccinini 3 ,24020, Selvino
La Ruota,https://www.tripadvisor.it/Restaurant_Review-g644255-d4045365-Reviews-La_Ruota-Selvino_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39035765192,Via Gennaro Sora 3 ,24020, Selvino
BAR PIZZERIA TENNIS,https://www.tripadvisor.it/Restaurant_Review-g644255-d3411841-Reviews-Bar_Pizzeria_Tennis-Selvino_Province_of_Bergamo_Lombardy.html,4.0,cibo economico,+39035763909,Via Passero 16 ,24020, Selvino
Tre Corone Bistrot,https://www.tripadvisor.it/Restaurant_Review-g966813-d10172778-Reviews-Tre_Corone_Bistrot-Aviatico_Province_of_Bergamo_Lombardy.html,4.5,fascia media,+393409880550,Via Ama 58 ,24020, Aviatico
Rifugio 1111,https://www.tripadvisor.it/Restaurant_Review-g644255-d17741214-Reviews-Rifugio_1111-Selvino_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+393382327038,Via Larici c/o cima Monte Purito ,24020, Selvino
Merelli Bar Ristorante,https://www.tripadvisor.it/Restaurant_Review-g187830-d1891357-Reviews-Merelli_Bar_Ristorante-Bergamo_Province_of_Bergamo_Lombardy.html,4.0,cibo economico,+39035514870,Via Salmezza 1 Nembro ,24027, Bergamo
Ristorante Passata,https://www.tripadvisor.it/Restaurant_Review-g1131567-d2289760-Reviews-Passata-Zogno_Province_of_Bergamo_Lombardy.html,4.5,cibo economico,+39034569013,Via Passata 5 ,24019, Zogno
Pizzeria Caffetteria Moderno,https://www.tripadvisor.it/Restaurant_Review-g644255-d5260592-Reviews-Pizzeria_Caffetteria_Moderno-Selvino_Province_of_Bergamo_Lombardy.html,3.0,fascia media,+39035763193,Corso Monte Rosa 48 ,24020, Selvino
Ristorante Pizzeria K2,https://www.tripadvisor.it/Restaurant_Review-g644255-d3411842-Reviews-Ristorante_Pizzeria_K2-Selvino_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39035763313,Via Aviatico 28 ,24020, Selvino
Bar Pizzeria Gelateria Centrale,https://www.tripadvisor.it/Restaurant_Review-g966813-d6823288-Reviews-Bar_Pizzeria_Gelateria_Centrale-Aviatico_Province_of_Bergamo_Lombardy.html,4.5,fascia media,+39035779085,via Cantul 1 Aviatico ,24020, Aviatico
Ristorante del Rifugio Monte Poieto,https://www.tripadvisor.it/Restaurant_Review-g966813-d2251368-Reviews-Ristorante_del_Rifugio_Monte_Poieto-Aviatico_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+39035779184,Localita Monte Poieto ,24020, Aviatico
26 Grani,https://www.tripadvisor.it/Restaurant_Review-g644255-d25237316-Reviews-26_Grani-Selvino_Province_of_Bergamo_Lombardy.html,4.0,,+393426795907,Via Monte Bianco 26 ,24020, Selvino
L'isola che non c'è,https://www.tripadvisor.it/Restaurant_Review-g644255-d18344325-Reviews-L_isola_che_non_c_e-Selvino_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+393492553574,Via Monte Bianco 7 ,24020, Selvino
Trattoria Pizzeria Felicita,https://www.tripadvisor.it/Restaurant_Review-g966813-d3486379-Reviews-Trattoria_Pizzeria_Felicita-Aviatico_Province_of_Bergamo_Lombardy.html,3.0,fascia media,+39035764844,Frazione Ganda ,24020, Aviatico
Locanda Felicita,https://www.tripadvisor.it/Restaurant_Review-g966813-d3682567-Reviews-Locanda_Felicita-Aviatico_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+39035754854,Via Ganda 83 Frazione Ganda ,24020, Aviatico
Fantasy Bar,https://www.tripadvisor.it/Restaurant_Review-g3334583-d16759214-Reviews-Fantasy_Bar-Foresto_Sparso_Province_of_Bergamo_Lombardy.html,4.0,,+39034568237,Via Tremellini 11 ,24060, Foresto Sparso
Bar Station Selvino,https://www.tripadvisor.it/Restaurant_Review-g644255-d23255068-Reviews-Bar_Station_Selvino-Selvino_Province_of_Bergamo_Lombardy.html,,cibo economico,+3903519837293,Via Enea Talpino 20 Ip Benzinaio ,24020, Selvino
Ristorante del Agriturismo la Peta,https://www.tripadvisor.it/Restaurant_Review-g2287567-d3484542-Reviews-Ristorante_del_Agriturismo_la_Peta-Costa_di_Serina_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39034597955,Via Peta 3 ,24010, Costa di Serina
Agriturismo La Corna,https://www.tripadvisor.it/Restaurant_Review-g2464979-d5541826-Reviews-Agriturismo_La_Corna-Algua_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+39034568137,Frazione Sambusita 41/A ,24010, Algua
Ristorante Laral,https://www.tripadvisor.it/Restaurant_Review-g2287567-d3897452-Reviews-Ristorante_Laral-Costa_di_Serina_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39034597937,Via san Erasmo 22 ,24010, Costa di Serina
Pizzeria Tre Corone,https://www.tripadvisor.it/Restaurant_Review-g1076580-d3739142-Reviews-Pizzeria_tre_corone-Nembro_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39035520319,Via Giuseppe Garibaldi 56 ,24027, Nembro
La penzana,https://www.tripadvisor.it/Restaurant_Review-g3515976-d4598834-Reviews-La_penzana-Gazzaniga_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+39035712021,Via Alla Chiesa 4 Orezzo vicino alla chiesa. ,24025, Gazzaniga
New Bar Dolci,https://www.tripadvisor.it/Restaurant_Review-g966813-d3411831-Reviews-New_Bar_Dolci-Aviatico_Province_of_Bergamo_Lombardy.html,4.0,cibo economico,+39035779166,Via Cantul 34 ,24020, Aviatico
Ristorante Pizzeria la Pergola,https://www.tripadvisor.it/Restaurant_Review-g194852-d6016215-Reviews-Ristorante_Pizzeria_la_Pergola-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+393293376344,Via Corno d'Aola 17 ,25056, Ponte di Legno
Ristorante Pizzeria La Brasa,https://www.tripadvisor.it/Restaurant_Review-g194852-d3486385-Reviews-Ristorante_Pizzeria_La_Brasa-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,3.5,fascia media,+39036491512,Via 24 Maggio 3,,Ponte di Legno
El Volt,https://www.tripadvisor.it/Restaurant_Review-g194852-d2529658-Reviews-El_Volt-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,3.5,fascia media,+39036492050,Via Gennaro Sora 19 ,25056, Ponte di Legno
Caffè Roma,https://www.tripadvisor.it/Restaurant_Review-g194852-d6782216-Reviews-Caffe_Roma-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+393492377373,Via Cima Cadi' 1 ,25056, Ponte di Legno
Ristorante San Marco,https://www.tripadvisor.it/Restaurant_Review-g194852-d2282721-Reviews-San_Marco-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+393939004659,Piazzale Europa 18 ,25056, Ponte di Legno
La Rasega Wine Bar,https://www.tripadvisor.it/Restaurant_Review-g194852-d2542618-Reviews-La_Rasega-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+393397921494,Via IV Novembre 72 Confluenza generante fiume Oglio ,25056, Ponte di Legno
Ristorante Pizzeria Sporting,https://www.tripadvisor.it/Restaurant_Review-g194852-d3386075-Reviews-Sporting-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+39036491775,Viale Venezia 46 ,25056, Ponte di Legno
Ristorante Frigidolfo,https://www.tripadvisor.it/Restaurant_Review-g194852-d3502013-Reviews-Ristorante_Frigidolfo-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.5,fascia media,+39036491266,Via Valle delle Messi 55 ,25056, Ponte di Legno
L'asino che vola,https://www.tripadvisor.it/Restaurant_Review-g194852-d4719303-Reviews-Bar_L_Asino_Che_Vola-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,cibo economico,3928895034,Vicolo Valbione 5 ,25056, Ponte di Legno
Ristorante Pizzeria da Giusy,https://www.tripadvisor.it/Restaurant_Review-g194852-d1018308-Reviews-Ristorante_Pizzeria_da_Giusy-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+39036492153,Via Ercavallo 39 Non si accettano animali anche di piccola taglia all'interno del locale. ,25056, Ponte di Legno
La Briciola,https://www.tripadvisor.it/Restaurant_Review-g194852-d7376028-Reviews-La_Briciola-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,3.5,cibo economico,+390364900911,Via Cesare Battisti 105 ,25056, Ponte di Legno
Pasticceria Roma  Zucchetti Davide,https://www.tripadvisor.it/Restaurant_Review-g194852-d5861863-Reviews-Pasticceria_ROMA-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+393395378430,Piazzale Europa 47 ,25056, Ponte di Legno
Pota Mountain Burger,https://www.tripadvisor.it/Restaurant_Review-g194852-d23065188-Reviews-Pota_Mountain_Burger-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,3.5,,+393311331896,Corso Milano 15 ,25056, Ponte di Legno
Ca' del Re,https://www.tripadvisor.it/Restaurant_Review-g194852-d2261059-Reviews-Ca_del_Re-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+39036491497,Via San Giovanni 79 ,25056, Ponte di Legno
Tre Archi,https://www.tripadvisor.it/Restaurant_Review-g194852-d2467741-Reviews-Tre_Archi-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+390364900621,Via Castello ,25056, Ponte di Legno
Ristorante Al Tabià,https://www.tripadvisor.it/Restaurant_Review-g194852-d2265946-Reviews-Ristorante_Al_Tabia-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,3.5,fascia media,+39036491406,Via S. Antonio N 3 ,25056, Ponte di Legno
La Tana dell'Orso,https://www.tripadvisor.it/Restaurant_Review-g194852-d2436577-Reviews-La_Tana_dell_Orso-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,3.0,fascia media,+390364901036,Via Case Sparse Val Sozzine ,25056, Ponte di Legno
Ristorante Capanna Valbione,https://www.tripadvisor.it/Restaurant_Review-g194852-d6408141-Reviews-Ristorante_Capanna_Valbione-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,3.5,fascia media,+39036492324,Località Valbione Snc ,25056, Ponte di Legno
Petit Pierre Corno d'aola,https://www.tripadvisor.it/Restaurant_Review-g194852-d4470670-Reviews-Petit_Pierre_Corno_d_aola-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+393397481915,Rifugio in loc.Corno d'Aola Località corno d'aola ,25056, Ponte di Legno
Ristorante Masoguera,https://www.tripadvisor.it/Restaurant_Review-g194852-d3544811-Reviews-Ristorante_Pizzeria_Masoguera-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+390364900909,piazzale Cida 51 ,25056, Ponte di Legno
Rifugio Valmalza,https://www.tripadvisor.it/Restaurant_Review-g194852-d4755649-Reviews-Rifugio_Valmalza-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+393487962766,valle delle Messi ,25050, Ponte di Legno
Pizzeria Ristorante Il Ceppo,https://www.tripadvisor.it/Restaurant_Review-g194852-d2210961-Reviews-Pizzeria_Ristorante_Il_Ceppo-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,3.0,fascia media,+39036491882,Via Cida 23 ,25056, Ponte di Legno
Al mulino,https://www.tripadvisor.it/Restaurant_Review-g194852-d3419967-Reviews-Al_mulino-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,2.5,fascia media,+393389181209,Via statale gavia 7/9,,Ponte di Legno
Il Panoramico,https://www.tripadvisor.it/Restaurant_Review-g194852-d21113997-Reviews-Il_Panoramico-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,4.0,,+3903641951856,Via Nazionale 2 ,25056, Ponte di Legno
Ristorante Kro,https://www.tripadvisor.it/Restaurant_Review-g1813852-d2098109-Reviews-Ristorante_Kro-Temu_Province_of_Brescia_Lombardy.html,4.5,fascia media,+390364906411,Via Tollarini 70/C Frazione Pontagna ,25050, Temù
agriturismo Belotti,https://www.tripadvisor.it/Restaurant_Review-g5123519-d1983221-Reviews-Agriturismo_Belotti-Villa_Dalegno_Temu_Province_of_Brescia_Lombardy.html,3.5,fascia media,+39036491850,via C.  Battisti  11 ,25050, Villa Dalegno Temù
Sseventyfice cafè & lounge,https://www.tripadvisor.it/Restaurant_Review-g194852-d18717923-Reviews-Sseventyfice_cafe_lounge-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,2.5,fascia media,,via S.Antonio 7-5 ,25056, Ponte di Legno
Al Pietra Rossa,https://www.tripadvisor.it/Restaurant_Review-g194852-d2298079-Reviews-Al_Pietra_Rossa-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,3.5,fascia media,+39036491311,SS Passo Gavia 39 Loc. Santa Apollonia,,Ponte di Legno
Albergo Ristorante Eden,https://www.tripadvisor.it/Restaurant_Review-g1813852-d4600603-Reviews-Albergo_Ristorante_Eden-Temu_Province_of_Brescia_Lombardy.html,3.5,cibo economico,+3903641873035,Via Castello 19 ,25050, Temù
Albergo Ristorante Al Maniero,https://www.tripadvisor.it/Restaurant_Review-g194852-d5777626-Reviews-Albergo_Ristorante_Al_Maniero-Ponte_di_Legno_Province_of_Brescia_Lombardy.html,3.5,fascia media,+390364900041,Via Roma 54 ,25056, Ponte di Legno
Ristorante dell' Albergo Piazzatorre,https://www.tripadvisor.it/Restaurant_Review-g1757554-d4602807-Reviews-Ristorante_dell_Albergo_Piazzatorre-Piazzatorre_Province_of_Bergamo_Lombardy.html,4.5,fascia media,+39034585033,Via Centro 21 ,24010, Piazzatorre
L’oca D’oro,https://www.tripadvisor.it/Restaurant_Review-g1757554-d8581505-Reviews-L_oca_D_oro-Piazzatorre_Province_of_Bergamo_Lombardy.html,4.5,cibo economico,,Via Venti Settembre 12 ,24010, Piazzatorre
Ristorante Pizzeria Rustica,https://www.tripadvisor.it/Restaurant_Review-g1757554-d5449111-Reviews-Ristorante_Pizzeria_Rustica-Piazzatorre_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39034585155,Via Zappata 2 ,24010, Piazzatorre
Rifugio Gremei,https://www.tripadvisor.it/Restaurant_Review-g1757554-d12033783-Reviews-Rifugio_Gremei-Piazzatorre_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+393332169601,Localita Gremei Torcola Vaga,,Piazzatorre
Ristorante Hotel Milano,https://www.tripadvisor.it/Restaurant_Review-g1757554-d6350672-Reviews-Ristorante_Hotel_Milano-Piazzatorre_Province_of_Bergamo_Lombardy.html,4.5,fascia media,+39034585027,Via Centro 19 ,24010, Piazzatorre
Ristorante pizzeria Edelweiss,https://www.tripadvisor.it/Restaurant_Review-g1486304-d1484893-Reviews-Ristorante_Pizzeria_Edelweiss-Santa_Brigida_Province_of_Bergamo_Lombardy.html,4.0,cibo economico,+39034588683,via carale 18 ,24010, Santa Brigida
La Brina,https://www.tripadvisor.it/Restaurant_Review-g2529284-d2515859-Reviews-La_Brina-Olmo_al_Brembo_Province_of_Bergamo_Lombardy.html,3.5,cibo economico,+39034587057,Via Gaetano Donizetti 31 ,24010, Olmo al Brembo
Ristorante Albergo Sole,https://www.tripadvisor.it/Restaurant_Review-g1405297-d5859529-Reviews-Ristorante_Albergo_Sole-Mezzoldo_Province_of_Bergamo_Lombardy.html,4.5,fascia media,+39034586111,Via Bonandrini 4 ,24010, Mezzoldo
Il Caminetto,https://www.tripadvisor.it/Restaurant_Review-g1826734-d4587108-Reviews-Il_Caminetto-Branzi_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39034571517,Piazza Vittorio Emanuele II 6 ,24010, Branzi
Albergo Ristorante Piazza Brembana,https://www.tripadvisor.it/Restaurant_Review-g3198189-d3436078-Reviews-Ristorante_Hotel_Piazza_Brembana-Piazza_Brembana_Province_of_Bergamo_Lombardy.html,4.5,fascia media,+39034581070,Via Bortolo Belotti 70 ,24014, Piazza Brembana
Antica Osteria Rapella,https://www.tripadvisor.it/Restaurant_Review-g1930015-d2387245-Reviews-Antica_Osteria_Rapella-Morbegno_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+390342610377,Via Margna 36 ,23017, Morbegno
La Libellula,https://www.tripadvisor.it/Restaurant_Review-g3491146-d7825208-Reviews-La_Libellula-Margno_Province_of_Lecco_Lombardy.html,4.0,fascia media,+390341803085,Pian Delle Betulle Viale Faggeto N.4,,Margno
Albergo Ristorante Baitock,https://www.tripadvisor.it/Restaurant_Review-g3491144-d3806770-Reviews-Albergo_Ristorante_Baitock-Pian_delle_Betulle_Margno_Province_of_Lecco_Lombardy.html,4.0,fascia media,+390341803042,Viale Sciatori 8 ,23832, Pian delle Betulle Margno
Ristorante Trattoria Regina,https://www.tripadvisor.it/Restaurant_Review-g1973847-d2048566-Reviews-Trattoria_Regina-Crandola_Valsassina_Province_of_Lecco_Lombardy.html,4.0,cibo economico,+390341840118,Via ai Maggenghi 2/A ,23832, Crandola Valsassina
Rifugio Disolin Alpe di Paglio,https://www.tripadvisor.it/Restaurant_Review-g2357815-d6378850-Reviews-Rifugio_Disolin_Alpe_di_Paglio-Casargo_Province_of_Lecco_Lombardy.html,4.5,fascia media,+393406073845,Alpe di Paglio ,23831, Casargo
Osteria Il Gatto e la Volpe,https://www.tripadvisor.it/Restaurant_Review-g1973847-d3498528-Reviews-Osteria_Il_Gatto_e_la_Volpe-Crandola_Valsassina_Province_of_Lecco_Lombardy.html,4.0,cibo economico,+393298976519,Via San Giovanni 8 ,23832, Crandola Valsassina
Dal Passero,https://www.tripadvisor.it/Restaurant_Review-g194799-d19767846-Reviews-Dal_Passero-Livigno_Province_of_Sondrio_Lombardy.html,5.0,fascia media,+393714422857,Via Rasia 300 ,23041, Livigno
Pizzeria La Barbolena,https://www.tripadvisor.it/Restaurant_Review-g3491146-d3491148-Reviews-Pizzeria_La_Barbolena-Margno_Province_of_Lecco_Lombardy.html,,,,Localita Pian delle Betulle,,Margno
Bar Funivia,https://www.tripadvisor.it/Restaurant_Review-g3491146-d12709862-Reviews-Bar_Funivia-Margno_Province_of_Lecco_Lombardy.html,3.0,,,Piazzale Funivia 44 ,23832, Margno
Bar-Ristorante nel Castello di Breno,https://www.tripadvisor.it/Restaurant_Review-g194700-d8142887-Reviews-Bar_Ristorante_nel_Castello_di_Breno-Breno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+393346485754,Via Castello All'interno delle mura ,25043, Breno
Trattoria Taverna,https://www.tripadvisor.it/Restaurant_Review-g194700-d8319499-Reviews-Trattoria_Taverna-Breno_Province_of_Brescia_Lombardy.html,4.0,cibo economico,+39036422391,Via Prudenzini 15 ,25043, Breno
Ristorante Pizzeria Bar Giardino,https://www.tripadvisor.it/Restaurant_Review-g194700-d3675457-Reviews-Ristorante_Pizzeria_Bar_Giardino-Breno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+390364321107,Via 28 Aprile 7 ,25043, Breno
Bar la Busa,https://www.tripadvisor.it/Restaurant_Review-g194700-d7352396-Reviews-Bar_la_Busa-Breno_Province_of_Brescia_Lombardy.html,4.0,cibo economico,+393475315172,Via Agostino Rizzieri 1 ,25043, Breno
Pizza Impero,https://www.tripadvisor.it/Restaurant_Review-g194700-d6764834-Reviews-Pizza_Impero-Breno_Province_of_Brescia_Lombardy.html,4.0,cibo economico,+393892424247,Piazza Sant'Antonio 4 ,25043, Breno
Ristorante Pizzeria Bracconiere,https://www.tripadvisor.it/Restaurant_Review-g194700-d3383888-Reviews-Taverna_Del_Bracconiere-Breno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+390364320526,Localita' Degna Snc ,25043, Breno
L'Aquiletta,https://www.tripadvisor.it/Restaurant_Review-g194700-d14095437-Reviews-L_Aquiletta-Breno_Province_of_Brescia_Lombardy.html,4.0,cibo economico,+393485118001,Via Leonardo da Vinci 17/a ,25043, Breno
Rifugio Tita secchi,https://www.tripadvisor.it/Restaurant_Review-g194700-d7682364-Reviews-Rifugio_Tita_Secchi-Breno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+390365903001,Località Lago della Vacca - Breno località Lago della Vacca ,25043, Breno
Il Forno,https://www.tripadvisor.it/Restaurant_Review-g6919554-d6764829-Reviews-Il_Forno-Niardo_Province_of_Brescia_Lombardy.html,3.5,,+390364339159,Via Nazionale 24 ,25050, Niardo
Leroi,https://www.tripadvisor.it/Restaurant_Review-g1201172-d4582135-Reviews-Leroi-Clusone_Province_of_Bergamo_Lombardy.html,4.5,cibo economico,+393455913729,Piazza dell'Orologio 38 ,24023, Clusone
Pasticceria Caffetteria Bontempi,https://www.tripadvisor.it/Restaurant_Review-g2693215-d12149374-Reviews-Pasticceria_Caffetteria_Bontempi-Sellero_Province_of_Brescia_Lombardy.html,4.5,cibo economico,+393282788477,Via Nazionale 15 Strada Principale ,25050, Sellero
Ristorante del Rifugio Passo Crocedomini,https://www.tripadvisor.it/Restaurant_Review-g194700-d2237972-Reviews-Ristorante_del_Rifugio_Passo_Crocedomini-Breno_Province_of_Brescia_Lombardy.html,4.5,cibo economico,+390364310425,Passo Crocedomini Località' Crocedomini ,25043, Breno
Baobab,https://www.tripadvisor.it/Restaurant_Review-g1574966-d3381955-Reviews-Baobab-Pisogne_Province_of_Brescia_Lombardy.html,3.5,fascia media,+390364880117,piazza Corna Pellegrini 12/b ,25055, Pisogne
Due Magnolie,https://www.tripadvisor.it/Restaurant_Review-g2018856-d3738035-Reviews-Due_magnolie-Piancogno_Province_of_Brescia_Lombardy.html,4.0,fascia media,+390364367111,Via Nazionale 129 ,25052, Piancogno
L'osteria,https://www.tripadvisor.it/Restaurant_Review-g194700-d19814821-Reviews-L_osteria-Breno_Province_of_Brescia_Lombardy.html,5.0,,+393402666964,Piazza Sant’Antonio 5 ,25043, Breno
I Portici Griglieria Pizzeria,https://www.tripadvisor.it/Restaurant_Review-g194700-d23910459-Reviews-I_Portici_Griglieria_Pizzeria-Breno_Province_of_Brescia_Lombardy.html,,,+390364088059,Via Canevali 14 ,25043, Breno
Molly Malone,https://www.tripadvisor.it/Restaurant_Review-g194700-d13372801-Reviews-Molly_Malone-Breno_Province_of_Brescia_Lombardy.html,4.0,,+393280621250,Piazza della Vittoria 12 ,25043, Breno
Bar Blumon Break,https://www.tripadvisor.it/Restaurant_Review-g194700-d13189237-Reviews-Bar_Blumon_Break-Breno_Province_of_Brescia_Lombardy.html,4.5,cibo economico,+390365904972,SP 669 10 Località Gaver ,25043, Breno
Gastronomia Salumeria Sedani,https://www.tripadvisor.it/Restaurant_Review-g194700-d10373392-Reviews-Gastronomia_Salumeria_Sedani-Breno_Province_of_Brescia_Lombardy.html,4.5,,,Via Donatori Di Sangue ,25043, Breno
Bistrot Domenighini,https://www.tripadvisor.it/Restaurant_Review-g194700-d2389877-Reviews-Bistrot_Domenighini-Breno_Province_of_Brescia_Lombardy.html,4.5,fascia media,+390364529187,Piazza Sant’Antonio 9 ,25043, Breno
Locanda Gaver,https://www.tripadvisor.it/Restaurant_Review-g194700-d3418525-Reviews-Locanda_Gaver-Breno_Province_of_Brescia_Lombardy.html,4.0,cibo economico,+39036599325,via Gaver ,25043, Breno
Rifugio Bazena,https://www.tripadvisor.it/Restaurant_Review-g194700-d3564348-Reviews-Rifugio_Bazena-Breno_Province_of_Brescia_Lombardy.html,3.0,fascia media,+390364310777,Localita Bazena SNC ,25043, Breno
I Portici,https://www.tripadvisor.it/Restaurant_Review-g194700-d23908940-Reviews-I_Portici-Breno_Province_of_Brescia_Lombardy.html,2.0,,+390364088059,Via Canevali 14 ,25043, Breno
Delizioso Pizzeria e Kebab,https://www.tripadvisor.it/Restaurant_Review-g194700-d21251018-Reviews-Delizioso_Pizzeria_e_Kebab-Breno_Province_of_Brescia_Lombardy.html,4.0,cibo economico,+393495623425,Via Domenighini 3 Piazza  Ronchi ,25043, Breno
Bar Bruffione,https://www.tripadvisor.it/Restaurant_Review-g194700-d21091259-Reviews-Bar_Bruffione-Breno_Province_of_Brescia_Lombardy.html,5.0,fascia media,+39036599786,Località Gaver ,25043, Breno
La Puppola - Taverna Pane Vino,https://www.tripadvisor.it/Restaurant_Review-g2287650-d2278973-Reviews-La_Puppola_Taverna_Pane_Vino-Moggio_Province_of_Lecco_Lombardy.html,4.5,fascia media,+390341918193,Via Papa Giovanni XXIII,,Moggio
BAR-RISTORO CAPRIOLO,https://www.tripadvisor.it/Restaurant_Review-g2287650-d6179828-Reviews-Bar_Ristoro_Capriolo-Moggio_Province_of_Lecco_Lombardy.html,4.0,cibo economico,+393420083280,VIA RANCILIO 29 ,23817, Moggio
Rifugio Nicola,https://www.tripadvisor.it/Restaurant_Review-g2287650-d7008141-Reviews-Rifugio_Nicola-Moggio_Province_of_Lecco_Lombardy.html,3.5,fascia media,+390341997939,Via Piani Di Artavaggio ,23817, Moggio
Rifugio Casari,https://www.tripadvisor.it/Restaurant_Review-g2287650-d3546537-Reviews-Rifugio_Casari-Moggio_Province_of_Lecco_Lombardy.html,4.0,fascia media,+390341996552,Piani Di Artavaggio,,Moggio
Vam,https://www.tripadvisor.it/Restaurant_Review-g2287650-d10677034-Reviews-Vam-Moggio_Province_of_Lecco_Lombardy.html,4.0,cibo economico,,Via Papa Giovanni XXIII 14 ,23817, Moggio
Rifugio Cazzaniga Merlini,https://www.tripadvisor.it/Restaurant_Review-g2287650-d9610174-Reviews-Rifugio_Cazzaniga_Merlini-Moggio_Province_of_Lecco_Lombardy.html,3.5,cibo economico,341997839,Piani Di Artavaggio ,23817, Moggio
Invernizzi,https://www.tripadvisor.it/Restaurant_Review-g2287650-d6528980-Reviews-Invernizzi-Moggio_Province_of_Lecco_Lombardy.html,3.5,cibo economico,+390341996855,Via Don Paolo Mariani 3 ,23817, Moggio
