id_struttura,provincia,nome_comune,denominazione_struttura,categoria,classificazione,indirizzo,cap,localita,email,tel,fax,camere,letti,bagni,attrezzature,attrezzature_lingue,geo_y,geo_x,latitude,longitude
8266684,BS,COLLIO,LA SCALETTA,Alberghiere,Alberghi 1 stella,VIA BONDEGNO 45,25060,San Colombano,residence.park@libero.it,30927159,309225098,8,12,8,"Bar,Custodia valori in cassaforte,Parcheggio non custodito,Ristorante,Sala lettura separata,Sala televisione separata","Francese,Inglese",50738574191399900,60641640646800000,50738574191399904,6.06416406468E+16
8266596,BS,COLLIO,CICLAMINO,Alberghiere,Alberghi 2 stelle,VIA BONDEGNO 17/B S. COLOMBANO,25060,,info@hotel-ciclamino.eu,30927390,,10,19,10,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Bar,Custodia valori in cassaforte,Giochi per bambini,Lavaggio e stiratura biancheria,Parcheggio non custodito,Parco o giardino,Pulizia calzature,Ristorante,Ristorante vegetariano,Sala televisione separata,Trasporto clienti stazione",,507372065283000000,606390258700000000,5.07372065283E+17,6.063902587E+17
264640083,BS,COLLIO,RAMBALDINI MATTEO,Complementari,Locazione turistica non imprenditoriale,VIA MANIVA 185,25060,,manivadossoalto@gmail.com,,,8,20,2,"Accesso a vetture private,Frigorifero,Parcheggio privato,WI-FI in aree comuni",Inglese,0,0,0.0,0.0
8299725,BS,COLLIO,CORNEI,Complementari,Alloggi Agrituristici,VIA MANIVA 250,25060,San Colombano,info@agriturismocorneidanadia.com,30927678,,7,14,7,,,507552122152999000,607866858286999000,5.0755212215299898E+17,6.0786685828699904E+17
8266500,BS,COLLIO,NAANI,Alberghiere,Alberghi 1 stella,VIA BONDEGNO 8,25060,San Colombano,albergo.naani@tiscali.it,30927320,30927320,12,16,12,"Accesso a vetture private,Bar,Ristorante",,507382374816999000,606332269503999000,5.0738237481699898E+17,6.0633226950399898E+17
8266659,BS,COLLIO,BELVEDERE,Alberghiere,Alberghi 2 stelle,VIA MANIVA 75 SAN COLOMBANO,25060,,info@albergobelvederecollio.it,30927259,30927259,14,24,14,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione gruppi,Ascensore,Bar,Parcheggio non custodito,Parco o giardino,Ristorante,Sala lettura separata",,507403838138999000,606258842012000000,5.0740383813899898E+17,6.06258842012E+17
8308774,BS,COLLIO,CRISTAL,Alberghiere,Alberghi 3 stelle,VIA TARTAGLIA 2,25060,,info@cristalresort.eu,30927207,30927207,22,44,22,,,507386055162000000,606274904223000000,5.07386055162E+17,6.0627490422300006E+17
8266571,BS,COLLIO,DOSSO ALTO,Alberghiere,Alberghi 3 stelle,VIA MANIVA PASSO MANIVA,25060,,info@rosaettore.it,30927642,30927642,14,25,14,"Accesso a mezzi pubblici,Accesso a vetture private,Accettazione gruppi,Bar,Parcheggio non custodito,Ristorante","Inglese,Tedesco",507373518506999000,606027568033999000,5.0737351850699898E+17,6.0602756803399898E+17
8305337,BS,COLLIO,BONARDI DIPENDENZA,Alberghiere,Alberghi 2 stelle,VIA MANIVA 256,25060,,info@hotelbonardi.it,309220911,309280876,7,14,7,,"Francese,Inglese,Tedesco",0,0,0.0,0.0
8261626,BS,COLLIO,BONARDI,Alberghiere,Alberghi 3 stelle,VIA MANIVA 256,25060,,info@hotelbonardi.it,309220911,309280876,28,55,28,"Access. diversamente abili parziale,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Ascensore,Autorimessa,Bar,Custodia valori in cassette sicurezza,Lavaggio e stiratura biancheria,Parcheggio custodito,Parco o giardino,Ristorante,Sala televisione separata","Francese,Inglese,Tedesco",507499403026000000,607366679156000000,5.07499403026E+17,6.07366679156E+17
